Id;Topic;Min Type;Min Value;Max Type;Max Value;Type;Unit;Current Type;Current Value;Column1
PARTY_STOP_MONTH;device/status/MEQ0863017/2/PARTY_STOP_MONTH;Number;1;Number;12;INTEGER;month;Number;1;
PARTY_STOP_TIME;device/status/MEQ0863017/2/PARTY_STOP_TIME;Number;0;Number;1410;INTEGER;minutes;Number;0;
PARTY_STOP_YEAR;device/status/MEQ0863017/2/PARTY_STOP_YEAR;Number;0;Number;99;INTEGER;year;Number;0;
PARTY_TEMPERATURE;device/status/MEQ0863017/2/PARTY_TEMPERATURE;Number;5;Number;30;FLOAT;°C;Number;5;
SET_TEMPERATURE;device/status/MEQ0863017/2/SET_TEMPERATURE;Number;45050;Number;45076;FLOAT;°C;Number;21;
WINDOW_OPEN_REPORTING;device/status/MEQ0863017/2/WINDOW_OPEN_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
DECISION_VALUE;device/status/MEQ0863017/7/DECISION_VALUE;Number;0;Number;255;INTEGER;;Number;0;
AES_KEY;device/status/MEQ0863092/0/AES_KEY;Number;0;Number;127;INTEGER;;Number;0;
CONFIG_PENDING;device/status/MEQ0863092/0/CONFIG_PENDING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
DEVICE_IN_BOOTLOADER;device/status/MEQ0863092/0/DEVICE_IN_BOOTLOADER;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INHIBIT;device/status/MEQ0863092/0/INHIBIT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
LOWBAT;device/status/MEQ0863092/0/LOWBAT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
RSSI_DEVICE;device/status/MEQ0863092/0/RSSI_DEVICE;Number;-2147483648;Number;2147483647;INTEGER;;Number;1;
RSSI_PEER;device/status/MEQ0863092/0/RSSI_PEER;Number;-2147483648;Number;2147483647;INTEGER;;Number;192;
STICKY_UNREACH;device/status/MEQ0863092/0/STICKY_UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;TRUE;TRUE;
UNREACH;device/status/MEQ0863092/0/UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
UPDATE_PENDING;device/status/MEQ0863092/0/UPDATE_PENDING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
HUMIDITY;device/status/MEQ0863092/1/HUMIDITY;Number;0;Number;99;INTEGER;%;Number;72;
TEMPERATURE;device/status/MEQ0863092/1/TEMPERATURE;Number;-10;Number;50;FLOAT;°C;Number;45070;
ACTUAL_HUMIDITY;device/status/MEQ0863092/2/ACTUAL_HUMIDITY;Number;0;Number;99;FLOAT;%;Number;72;
ACTUAL_TEMPERATURE;device/status/MEQ0863092/2/ACTUAL_TEMPERATURE;Number;-10;Number;50;FLOAT;°C;Number;45070;
AUTO_MODE;device/status/MEQ0863092/2/AUTO_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
BATTERY_STATE;device/status/MEQ0863092/2/BATTERY_STATE;Number;45047;Number;45081;FLOAT;V;Number;45079;
BOOST_MODE;device/status/MEQ0863092/2/BOOST_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
BOOST_STATE;device/status/MEQ0863092/2/BOOST_STATE;Number;0;Number;30;INTEGER;min;Number;0;
COMFORT_MODE;device/status/MEQ0863092/2/COMFORT_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
COMMUNICATION_REPORTING;device/status/MEQ0863092/2/COMMUNICATION_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
CONTROL_MODE;device/status/MEQ0863092/2/CONTROL_MODE;Number;0;Number;3;ENUM;;Number;1;
LOWBAT_REPORTING;device/status/MEQ0863092/2/LOWBAT_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
